Student ID,Distance Z-score,Distance Min-Max Scaled,Score,Maximum,Score / Maximum %
s1041b5c9,0.7624570353912185,0.34860528569487587,51.0,200,0.255
s1052bd77,0.21452594693711263,0.29226359041526156,13.0,81,0.16049382716049382
s106e6058,-0.05596745671257676,0.1667134774224678,122.0,164,0.7439024390243902
s116f876e,-0.20022605123508075,0.1571999597762943,263.0,299,0.8795986622073578
s1187ca0f,1.748973846695088,0.4209509759953937,0.0,50,0.0
s121e58a1,-0.2268825692848753,0.14385555523695737,299.0,299,1.0
s125ba958,0.6863812040731089,0.35009499780097963,215.0,224,0.9598214285714286
s126cf4ce,-0.16346577512378743,0.1569019990724062,274.0,294,0.9319727891156463
s128685a7,-0.02369679812353606,0.18084214506303103,247.0,299,0.8260869565217391
s12bfba84,0.049764513365996695,0.18808921716139707,282.0,299,0.9431438127090301
s1357ef63,-0.11001064082915869,0.16311428829474522,130.0,167,0.7784431137724551
s13fb59e7,0.06363775089281988,0.17344506551000458,208.0,219,0.9497716894977168
s142d2a0c,-0.5052112705779465,0.08590236013130272,234.0,275,0.850909090909091
s142f3cd,-0.033407736074317254,0.16053309307793803,254.0,264,0.9621212121212122
s14309695,0.37807655757071656,0.26023627954531287,326.0,425,0.7670588235294118
s1436d556,0.027227930261239822,0.1817787387267838,294.0,299,0.9832775919732442
s14dac1e7,-0.3580921563410828,0.10758959640729644,272.0,294,0.9251700680272109
s14ed46fd,-0.4696103988782752,0.08672014741764067,141.0,174,0.8103448275862069
s151f8e85,0.5408859688792507,0.27144408055980074,25.0,65,0.38461538461538464
s15791c4c,-0.16085474714044376,0.1503771338944056,294.0,304,0.9671052631578947
s159c1ea3,-0.26126332863209073,0.13884716978474093,166.0,239,0.694560669456067
s15de0feb,0.3465804589095388,0.2506246470916085,195.0,279,0.6989247311827957
s1741e79,1.3820995644561642,0.295385725040457,0.0,20,0.0
s174a2e92,-0.3840816386917126,0.11159042087189486,290.0,299,0.9698996655518395
s17b7ccd2,-0.2165729050389774,0.13557527406351072,256.0,289,0.8858131487889274
s17ba9ad5,-0.36904160071281894,0.11775882623717326,207.0,289,0.7162629757785467
s18f414c5,2.3654237632399004,0.6232438091124094,29.0,140,0.20714285714285716
s19184a3e,-0.5827756349105758,0.07702536241996286,20.0,20,1.0
s194a342e,-0.5053236979458652,0.08592775158090346,292.0,299,0.9765886287625418
s19d0bc34,-0.40952370701550633,0.09427599800758087,215.0,249,0.8634538152610441
s19d0f25,0.3308563554878252,0.24903836693132922,136.0,219,0.6210045662100456
s1a2bc1e2,-0.3483197849670362,0.11404982790473374,260.0,294,0.8843537414965986
s1a3b7cd7,1.056037413902925,0.3921274676581773,73.0,105,0.6952380952380952
s1a54a266,-0.2759388557812629,0.13063256961062875,261.0,279,0.9354838709677419
s1a5b5006,0.8082195128823697,0.4996621621621622,0.0,10,0.0
s1a748834,0.10324281442422571,0.20689409535211922,139.0,159,0.8742138364779874
