Student ID,Problem Count,Score,Maximum,Correct Problem Count,Distance Z-score,Quiz Performance
sb017d8dd,17.0,42.0,119,4.0,0.13436213309501932,0.35294117647058826
sb0975f8a,15.0,152.0,178,11.0,-0.35154608138410065,0.8539325842696629
sb3936629,11.0,61.0,123,3.0,0.41914911197205934,0.4959349593495935
sb3e6f6db,1.0,10.0,10,1.0,7.433023046290228,1.0
sb44b3ec9,17.0,43.0,135,2.0,-0.6674572405412639,0.31851851851851853
sb57db6b4,12.0,34.0,88,1.0,0.0299587150669514,0.38636363636363635
sb59d540,14.0,47.0,84,6.0,0.1207954615367921,0.5595238095238095
sbabdf524,6.0,28.0,41,3.0,2.6943357766061404,0.6829268292682927
sbb77e3f,8.0,44.0,60,5.0,-0.3201740371918543,0.7333333333333333
sbbd99a74,15.0,56.0,107,8.0,0.13177834126008814,0.5233644859813084
sc06665ae,15.0,125.0,169,6.0,-0.3619766025795906,0.7396449704142012
sc1222d57,8.0,38.0,72,2.0,0.8501686868114202,0.5277777777777778
sc21b4d4f,17.0,53.0,140,1.0,-0.2695194029577246,0.37857142857142856
sc35338da,17.0,110.0,137,9.0,-0.24122877938802872,0.8029197080291971
sc4951a7b,13.0,23.0,99,2.0,0.337871635739317,0.23232323232323232
sc91cf3df,9.0,57.0,83,4.0,-0.06341579777014528,0.6867469879518072
sca019037,18.0,108.0,184,6.0,0.529055760988782,0.5869565217391305
scc0be523,14.0,57.0,118,4.0,0.3186328540868004,0.4830508474576271
sccc51f4d,13.0,19.0,89,3.0,0.5954638371304889,0.21348314606741572
sce91c9ae,3.0,17.0,30,1.0,1.947158343123369,0.5666666666666667
sd108d39b,14.0,180.0,210,9.0,-0.5486943387854752,0.8571428571428571
sd18e9f78,16.0,123.0,179,7.0,0.03148590853217115,0.6871508379888268
sd368b581,17.0,112.0,149,12.0,-0.02761019953952924,0.7516778523489933
sd37baf37,10.0,50.0,77,3.0,1.0185318203513183,0.6493506493506493
sd4d9b036,17.0,81.0,179,4.0,-0.6342347891339299,0.45251396648044695
sd4fd9f65,15.0,39.0,102,3.0,-0.7092006204821001,0.38235294117647056
sd8666a21,13.0,96.0,104,10.0,-0.16168030727635285,0.9230769230769231
sda47bbdc,16.0,141.0,195,9.0,0.004019913017421427,0.7230769230769231
sda4e2c88,16.0,107.0,185,8.0,0.2150912047832274,0.5783783783783784
sde310e40,17.0,56.0,117,6.0,-0.6370000625593605,0.47863247863247865
sde4b0f67,4.0,16.0,40,1.0,0.3019919836422844,0.4
sdf5145b9,6.0,36.0,55,2.0,-0.14174853247909946,0.6545454545454545
sdf597fba,11.0,33.0,88,2.0,0.6436892208544562,0.375
se0ba944c,12.0,47.0,105,2.0,-0.6482018008034518,0.44761904761904764
se160ae5d,9.0,27.0,72,2.0,-0.07106938153842215,0.375
se32c4be8,11.0,81.0,122,3.0,-0.6705799824744485,0.6639344262295082
se49dba2f,16.0,35.0,121,3.0,0.17359814955401873,0.2892561983471074
se57e64c4,16.0,62.0,134,5.0,0.7917308512803902,0.4626865671641791
se74e1857,17.0,146.0,174,12.0,-0.3638559496164894,0.8390804597701149
se8b7cf3a,14.0,52.0,92,7.0,0.40036076867048315,0.5652173913043478
se9e12908,4.0,16.0,36,1.0,2.086239170656969,0.4444444444444444
sea487f2e,8.0,43.0,56,5.0,-0.16276237142075803,0.7678571428571429
seda6d111,17.0,158.0,194,13.0,1.7101143710032394,0.8144329896907216
sf3a79bae,18.0,55.0,134,5.0,-0.19079604023438707,0.41044776119402987
sf46256b6,17.0,41.0,118,5.0,0.4766985093626235,0.3474576271186441
sf762e16f,15.0,31.0,111,2.0,0.3890425740473022,0.27927927927927926
sf7c2a8ef,16.0,80.0,184,8.0,0.9933285102268827,0.43478260869565216
sf883bdb,8.0,29.0,86,2.0,1.4339075564318784,0.3372093023255814
sf9570aa4,4.0,35.0,35,4.0,0.09923620672679499,1.0
sfb75326f,15.0,81.0,135,8.0,-0.20904327277912227,0.6
sfead25f,17.0,89.0,137,9.0,0.13303612215970537,0.6496350364963503
sfeb87ba8,18.0,105.0,174,6.0,-0.19632712385910076,0.603448275862069
