Student ID,Problem Count,Score,Maximum,Correct Problem Count,Distance Z-score,Quiz Performance
s43f101ac,27.0,259.0,264,26.0,-0.45179660866111016,0.9810606060606061
s44abb885,28.0,284.0,299,23.0,0.17691053679821472,0.9498327759197325
s4619ae15,28.0,272.0,299,26.0,-0.5575489343773623,0.9096989966555183
s4a3db928,27.0,267.0,304,20.0,-0.21001030272899315,0.8782894736842105
s4a68c6a8,45.0,335.0,426,29.0,-0.3339551639379091,0.7863849765258216
s4bdda01,31.0,276.0,304,24.0,-0.5728849034431381,0.9078947368421053
s4cc87cec,28.0,296.0,299,26.0,-0.09916667277930619,0.9899665551839465
s4cd8df2d,27.0,271.0,294,22.0,-0.48374122091790356,0.9217687074829932
s4d064221,31.0,272.0,304,23.0,0.3240960479111331,0.8947368421052632
s4da9fe0,31.0,291.0,304,27.0,-0.46870665831796393,0.9572368421052632
s4e55e93c,27.0,286.0,294,24.0,-0.39694727683685427,0.9727891156462585
s4e63aacb,28.0,225.0,283,15.0,-0.20005583317742623,0.7950530035335689
s4e76ce0,27.0,263.0,289,19.0,-0.11012958141693552,0.9100346020761245
s4e8f09db,28.0,247.0,259,26.0,-0.1410644376159063,0.9536679536679536
s4ec0b691,30.0,262.0,279,26.0,-0.09499854533817031,0.9390681003584229
s4efdc81e,28.0,298.0,299,27.0,1.0079977483902274,0.9966555183946488
s5220229a,27.0,215.0,259,14.0,-0.4660887020215046,0.8301158301158301
s52554dbd,28.0,258.0,285,24.0,0.3793543504734554,0.9052631578947369
s52825cfa,27.0,272.0,274,26.0,-0.31083023919035957,0.9927007299270073
s5408771,30.0,271.0,299,25.0,-0.12319791435943506,0.9063545150501672
s551e6d25,30.0,289.0,294,28.0,-0.3966399145743921,0.9829931972789115
s5766e635,28.0,196.0,274,12.0,0.006189736761634032,0.7153284671532847
s57cbaf7,48.0,336.0,428,39.0,-0.6139894168144876,0.7850467289719626
s585f6df2,28.0,277.0,299,23.0,-0.12969968116267466,0.9264214046822743
s58b729ce,31.0,299.0,304,29.0,0.14829858455209552,0.9835526315789473
s5974e5c7,28.0,297.0,299,27.0,-0.34420379592262945,0.9933110367892977
s5a748352,27.0,243.0,294,20.0,-0.27779913459570993,0.826530612244898
s5ccb70fe,36.0,147.0,297,17.0,-0.27989108087465114,0.494949494949495
s5cf6046,28.0,277.0,299,23.0,-0.26639759165016885,0.9264214046822743
s5d0cf695,27.0,280.0,304,21.0,-0.38048558578597497,0.9210526315789473
s5e8ec81e,28.0,268.0,299,21.0,-0.5230069082228753,0.8963210702341137
s60d39baa,27.0,284.0,294,25.0,0.011979618813590033,0.9659863945578231
s62165836,30.0,251.0,294,19.0,-0.25685245492920217,0.8537414965986394
s6249338e,27.0,269.0,294,22.0,-0.45388670678310633,0.9149659863945578
s628940d7,28.0,288.0,299,23.0,-0.39288352942203103,0.9632107023411371
s63b6afaa,28.0,290.0,299,25.0,-0.27702037236888655,0.9698996655518395
s656a62b1,28.0,293.0,299,26.0,0.3305131082639988,0.979933110367893
s657b9e81,40.0,233.0,365,19.0,-0.26897630007838996,0.6383561643835617
s65ec6fce,27.0,265.0,294,21.0,-0.18140349394918032,0.9013605442176871
s6602b9f9,30.0,277.0,279,28.0,0.4784923726498402,0.992831541218638
s6609aca1,28.0,294.0,299,26.0,-0.3776833695574633,0.9832775919732442
s672e1b68,27.0,280.0,309,20.0,-0.029904962317891796,0.9061488673139159
s67ce25b7,27.0,222.0,264,19.0,-0.30313055808273864,0.8409090909090909
s68d1eeb0,27.0,198.0,294,12.0,0.8945882901653671,0.673469387755102
s68dd1946,28.0,181.0,279,13.0,1.7511190227645201,0.6487455197132617
s6a975d91,27.0,264.0,289,21.0,-0.2958733462816971,0.9134948096885813
s6abc5f4f,28.0,283.0,299,25.0,-0.205002212626049,0.9464882943143813
s6ae082a8,27.0,265.0,294,20.0,-0.5282324137051193,0.9013605442176871
s6aeea9d9,27.0,225.0,289,24.0,-0.5653173981977118,0.7785467128027682
s6b0d0ac3,27.0,264.0,289,20.0,-0.1477861515027588,0.9134948096885813
s6b247ddd,42.0,267.0,373,21.0,-0.34551594908417815,0.7158176943699732
s6c075e51,29.0,247.0,289,21.0,-0.007231339036715854,0.8546712802768166
s6d63a382,28.0,268.0,299,21.0,-0.49819429173023827,0.8963210702341137
s712f9e1a,31.0,289.0,304,26.0,-0.25612553631385415,0.9506578947368421
s7347aba8,28.0,292.0,299,24.0,-0.4821418790339403,0.9765886287625418
s74289c02,27.0,233.0,259,20.0,-0.07662496579248008,0.8996138996138996
s74c257ee,27.0,261.0,264,25.0,-0.613448132513744,0.9886363636363636
s7752c9db,28.0,282.0,299,24.0,1.6681709321186193,0.9431438127090301
s7759f3da,27.0,238.0,294,15.0,-0.4533569029933177,0.8095238095238095
s78249b27,27.0,261.0,289,20.0,-0.713555573455181,0.903114186851211
s795e253d,27.0,245.0,264,20.0,-0.4124289128068278,0.928030303030303
